step,train_loss,val_loss,lr
100,6.4769,6.1416,0.000300
200,6.0884,5.6796,0.000300
300,6.0060,5.3941,0.000299
400,5.5847,5.2083,0.000299
500,5.7688,5.0030,0.000298
600,5.3240,4.9174,0.000297
700,5.3223,4.7387,0.000296
800,5.1853,4.6738,0.000295
900,4.7369,4.6259,0.000294
1000,4.6908,4.5433,0.000293
1100,4.9971,4.4738,0.000291
1200,4.8530,4.3702,0.000289
1300,4.8783,4.3329,0.000288
1400,4.9478,4.2074,0.000286
1500,4.7954,4.1821,0.000284
1600,4.7258,4.1986,0.000281
1700,4.7122,4.1536,0.000279
1800,4.8497,4.1201,0.000277
1900,4.4385,4.0717,0.000274
2000,4.6675,4.0718,0.000271
2100,4.5305,4.0155,0.000269
2200,4.5425,3.9447,0.000266
2300,4.4800,3.9150,0.000263
2400,4.2102,3.8930,0.000259
2500,4.2705,3.8347,0.000256
2600,4.5673,3.8013,0.000253
2700,4.2190,3.7687,0.000249
2800,4.3450,3.7830,0.000246
2900,4.2640,3.7545,0.000242
3000,4.4446,3.7284,0.000238
3100,3.9181,3.6981,0.000234
3200,3.9045,3.7024,0.000230
3300,4.3159,3.6777,0.000226
3400,4.0266,3.6299,0.000222
3500,4.2668,3.6372,0.000218
3600,4.2414,3.6315,0.000214
3700,4.0542,3.6121,0.000210
3800,3.9815,3.5655,0.000205
3900,4.1141,3.5398,0.000201
4000,4.1850,3.5536,0.000196
4100,3.9536,3.5233,0.000192
4200,4.0368,3.5074,0.000187
4300,3.8411,3.4748,0.000183
4400,4.1581,3.4724,0.000178
4500,3.9542,3.4794,0.000173
4600,4.0855,3.4485,0.000169
4700,3.9676,3.4435,0.000164
4800,3.7751,3.4736,0.000159
4900,3.9088,3.4254,0.000155
5000,4.0278,3.4557,0.000150
5100,4.0782,3.4357,0.000145
5200,3.8880,3.3951,0.000141
5300,3.8685,3.3738,0.000136
5400,3.7002,3.4005,0.000131
5500,3.8801,3.3752,0.000127
5600,3.6605,3.3826,0.000122
5700,3.8142,3.3695,0.000117
5800,3.5748,3.3449,0.000113
5900,3.9117,3.3328,0.000108
6000,3.4190,3.3217,0.000104
6100,3.8945,3.3202,0.000099
6200,3.7042,3.3188,0.000095
6300,3.8228,3.3353,0.000090
6400,3.8042,3.2996,0.000086
6500,3.6252,3.2720,0.000082
6600,3.8425,3.2833,0.000078
6700,3.8609,3.2762,0.000074
6800,3.6589,3.2782,0.000070
6900,3.7851,3.2768,0.000066
7000,3.8664,3.2676,0.000062
7100,3.9223,3.2539,0.000058
7200,3.6898,3.2730,0.000054
7300,3.6648,3.2527,0.000051
7400,3.8350,3.2602,0.000047
7500,3.7627,3.2556,0.000044
7600,3.6341,3.2448,0.000041
7700,3.7451,3.2392,0.000037
7800,3.5905,3.2365,0.000034
7900,3.6991,3.2272,0.000031
8000,3.5890,3.2263,0.000029
8100,3.7747,3.2257,0.000026
8200,3.8281,3.2278,0.000023
8300,3.7143,3.2220,0.000021
8400,3.7295,3.2235,0.000019
8500,3.9644,3.2165,0.000016
8600,3.6808,3.2180,0.000014
8700,3.7761,3.2204,0.000012
8800,3.7189,3.2221,0.000011
8900,3.5785,3.2185,0.000009
9000,3.3588,3.2162,0.000007
9100,3.6830,3.2163,0.000006
9200,3.5638,3.2171,0.000005
9300,3.5036,3.2130,0.000004
9400,3.6475,3.2117,0.000003
9500,3.7068,3.2121,0.000002
9600,3.3071,3.2118,0.000001
9700,3.5884,3.2118,0.000001
9800,3.7119,3.2114,0.000000
9900,3.6879,3.2115,0.000000
10000,3.5428,3.2115,0.000000
